package,kind,symbol,source,status,destination_or_reason
root,func,SetEnvKeyReplacer,viper.go,compatible,goforge.dev/gpviper
root,func,SetEnvPrefix,viper.go,compatible,goforge.dev/gpviper
root,func,SetFs,viper.go,compatible,goforge.dev/gpviper
root,func,SetOptions,viper.go,compatible,goforge.dev/gpviper
root,func,SetTypeByDefaultValue,viper.go,compatible,goforge.dev/gpviper
root,type,StringReplacer,viper.go,compatible,goforge.dev/gpviper
root,func,Sub,viper.go,compatible,goforge.dev/gpviper
root,var,SupportedExts,viper.go,compatible,goforge.dev/gpviper
root,var,SupportedRemoteProviders,remote.go,compatible,goforge.dev/gpviper
root,func,Unmarshal,viper.go,compatible,goforge.dev/gpviper
root,func,UnmarshalExact,viper.go,compatible,goforge.dev/gpviper
root,func,UnmarshalKey,viper.go,compatible,goforge.dev/gpviper
root,type,UnsupportedConfigError,viper.go,compatible,goforge.dev/gpviper
root,method,UnsupportedConfigError.Error,viper.go,compatible,goforge.dev/gpviper
root,type,UnsupportedRemoteProviderError,remote.go,compatible,goforge.dev/gpviper
root,method,UnsupportedRemoteProviderError.Error,remote.go,compatible,goforge.dev/gpviper
root,type,Viper,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.AddConfigPath,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.AddRemoteProvider,remote.go,compatible,goforge.dev/gpviper
root,method,Viper.AddSecureRemoteProvider,remote.go,compatible,goforge.dev/gpviper
root,method,Viper.AllKeys,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.AllSettings,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.AllowEmptyEnv,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.AutomaticEnv,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.BindEnv,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.BindFlagValue,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.BindFlagValues,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.BindPFlag,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.BindPFlags,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.ConfigFileUsed,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.Debug,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.DebugTo,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.Get,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.GetBool,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.GetDuration,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.GetEnvPrefix,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.GetFloat64,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.GetInt,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.GetInt32,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.GetInt64,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.GetIntSlice,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.GetSizeInBytes,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.GetString,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.GetStringMap,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.GetStringMapString,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.GetStringMapStringSlice,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.GetStringSlice,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.GetTime,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.GetUint,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.GetUint16,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.GetUint32,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.GetUint64,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.GetUint8,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.InConfig,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.IsSet,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.MergeConfig,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.MergeConfigMap,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.MergeInConfig,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.MustBindEnv,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.OnConfigChange,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.ReadConfig,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.ReadInConfig,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.ReadRemoteConfig,remote.go,compatible,goforge.dev/gpviper
root,method,Viper.RegisterAlias,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.SafeWriteConfig,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.SafeWriteConfigAs,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.Set,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.SetConfigFile,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.SetConfigName,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.SetConfigPermissions,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.SetConfigType,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.SetDefault,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.SetEnvKeyReplacer,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.SetEnvPrefix,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.SetFs,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.SetTypeByDefaultValue,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.Sub,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.Unmarshal,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.UnmarshalExact,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.UnmarshalKey,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.WatchConfig,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.WatchRemoteConfig,remote.go,compatible,goforge.dev/gpviper
root,method,Viper.WatchRemoteConfigOnChannel,remote.go,compatible,goforge.dev/gpviper
root,method,Viper.WriteConfig,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.WriteConfigAs,viper.go,compatible,goforge.dev/gpviper
root,method,Viper.WriteConfigTo,viper.go,compatible,goforge.dev/gpviper
root,func,WatchConfig,viper.go,compatible,goforge.dev/gpviper
root,func,WatchRemoteConfig,remote.go,compatible,goforge.dev/gpviper
root,func,WithCodecRegistry,encoding.go,compatible,goforge.dev/gpviper
root,func,WithDecodeHook,viper.go,compatible,goforge.dev/gpviper
root,func,WithDecoderRegistry,encoding.go,compatible,goforge.dev/gpviper
root,func,WithEncoderRegistry,encoding.go,compatible,goforge.dev/gpviper
root,func,WithFinder,finder.go,compatible,goforge.dev/gpviper
root,func,WithLogger,logger.go,compatible,goforge.dev/gpviper
root,func,WriteConfig,viper.go,compatible,goforge.dev/gpviper
root,func,WriteConfigAs,viper.go,compatible,goforge.dev/gpviper
root,func,WriteConfigTo,viper.go,compatible,goforge.dev/gpviper
